false_alarm_t,adapt_t,shift_rpm,shift_torque,TP,FP,FN,F1,FPR
300,500,-32.56,1.046,8,27,31,0.2162,0.0138
700,900,-33.29,0.348,8,29,31,0.2105,0.0148
1000,1200,2.09,-0.974,13,36,26,0.2955,0.0184
1400,1600,-21.0,0.692,10,32,29,0.2469,0.0163
