FIS,mean_ms,median_ms,p95_ms,p99_ms,throughput_samples_per_s,pipeline_ms_per_sample,adaptation_step_ms,cpu
Static (analytic MFs),0.06843689149991405,0.06527549976453884,0.086078950062074,0.1024018711905228,14612.002066184667,0.16669398049998563,0.141479500598507,13th Gen Intel(R) Core(TM) i7-1355U
Evolving (adapted grid MFs),0.08116807350779709,0.07864799954404589,0.09497684941379701,0.11018503984814743,12320.1150006836,0.16669398049998563,0.141479500598507,13th Gen Intel(R) Core(TM) i7-1355U
